<789, NA>
<993, NA>
<927, NA>
<353, NA>
<450, NA>
<394, NA>
<625, NA>
<673, NA>
<184, NA>
<903, NA>
<907, NA>
<334, NA>
<506, NA>
<455, NA>
<934, NA>
<928, NA>
<977, NA>
<316, NA>
<698, NA>
<30, NA>
<413, NA>
<466, NA>
<352, NA>
<859, NA>
<784, NA>
<802, NA>
<100, NA>
<301, NA>
<372, NA>
<36, NA>
<442, NA>
<970, NA>
<6, NA>
<948, NA>
<782, NA>
<610, NA>
<540, NA>
<829, NA>
<861, NA>
<947, NA>
<644, NA>
<937, NA>
<694, NA>
<250, NA>
<73, NA>
<822, NA>
<661, NA>
<29, NA>
<181, NA>
<996, NA>
<805, NA>
<80, NA>
<587, NA>
<825, NA>
<908, NA>
<432, NA>
<67, NA>
<85, NA>
<680, NA>
<462, NA>
<357, NA>
<185, NA>
<196, NA>
<425, NA>
<126, NA>
<68, NA>
<962, NA>
<723, NA>
<483, NA>
<824, NA>
<748, NA>
<747, NA>
<795, NA>
<393, NA>
<692, NA>
<755, NA>
<424, NA>
<381, NA>
<228, NA>
<46, NA>
<105, NA>
<590, NA>
<276, NA>
<264, NA>
<386, NA>
<400, NA>
<151, NA>
<369, NA>
<608, NA>
<429, NA>
<457, NA>
<619, NA>
<40, NA>
<849, NA>
<520, NA>
<897, NA>
<931, NA>
<779, NA>
<743, NA>
<597, NA>
<980, NA>
<960, NA>
<183, NA>
<730, NA>
<15, NA>
<887, NA>
<678, NA>
<182, NA>
<719, NA>
<901, NA>
<239, NA>
<753, NA>
<711, NA>
<712, NA>
<303, NA>
<223, NA>
<27, NA>
<909, NA>
<360, NA>
<341, NA>
<734, NA>
<320, NA>
<756, NA>
<845, NA>
<317, NA>
<857, NA>
<443, NA>
<55, NA>
<589, NA>
<663, NA>
<305, NA>
<939, NA>
<477, NA>
<501, NA>
<57, NA>
<607, NA>
<932, NA>
<256, NA>
<498, NA>
<293, NA>
<348, NA>
<941, NA>
<729, NA>
<542, NA>
<482, NA>
<716, NA>
<382, NA>
<878, NA>
<156, NA>
<132, NA>
<460, NA>
<732, NA>
<677, NA>
<512, NA>
<650, NA>
<643, NA>
<683, NA>
<128, NA>
<243, NA>
<653, NA>
<938, NA>
<868, NA>
<315, NA>
<208, NA>
<377, NA>
<212, NA>
<728, NA>
<515, NA>
<530, NA>
<973, NA>
<213, NA>
<813, NA>
<430, NA>
<899, NA>
<737, NA>
<873, NA>
<370, NA>
<463, NA>
<247, NA>
<41, NA>
<535, NA>
<492, NA>
<190, NA>
<300, NA>
<854, NA>
<835, NA>
<964, NA>
<616, NA>
<905, NA>
<491, NA>
<31, NA>
<618, NA>
<983, NA>
<221, NA>
<754, NA>
<891, NA>
<51, NA>
<0, NA>
<724, NA>
<392, NA>
<493, NA>
<473, NA>
<830, NA>
<475, NA>
<230, NA>
<793, NA>
<987, NA>
<472, NA>
<823, NA>
<263, NA>
<376, NA>
<145, NA>
<564, NA>
<192, NA>
<226, NA>
<194, NA>
<741, NA>
<740, NA>
<957, NA>
<627, NA>
<272, NA>
<438, NA>
<186, NA>
<634, NA>
<890, NA>
<3, NA>
<238, NA>
<906, NA>
<848, NA>
<237, NA>
<390, NA>
<449, NA>
<959, NA>
<549, NA>
<871, NA>
<262, NA>
<875, NA>
<998, NA>
<922, NA>
<552, NA>
<570, NA>
<211, NA>
<930, NA>
<548, NA>
<624, NA>
<484, NA>
<25, NA>
<658, NA>
<261, NA>
<709, NA>
<772, NA>
<950, NA>
<586, NA>
<318, NA>
<594, NA>
<307, NA>
<767, NA>
<614, NA>
<955, NA>
<898, NA>
<60, NA>
<665, NA>
<88, NA>
<497, NA>
<526, NA>
<339, NA>
<232, NA>
<811, NA>
<797, NA>
<169, NA>
<242, NA>
<505, NA>
<434, NA>
<129, NA>
<207, NA>
<480, NA>
<191, NA>
<851, NA>
<219, NA>
<220, NA>
<441, NA>
<749, NA>
<609, NA>
<225, NA>
<629, NA>
<751, NA>
<657, NA>
<742, NA>
<524, NA>
<417, NA>
<70, NA>
<326, NA>
<660, NA>
<86, NA>
<106, NA>
<883, NA>
<304, NA>
<246, NA>
<569, NA>
<558, NA>
<433, NA>
<166, NA>
<774, NA>
<655, NA>
<11, NA>
<1, NA>
<445, NA>
<895, NA>
<361, NA>
<173, NA>
<199, NA>
<273, NA>
<840, NA>
<131, NA>
<286, NA>
<744, NA>
<332, NA>
<42, NA>
<953, NA>
<311, NA>
<686, NA>
<513, NA>
<681, NA>
<621, NA>
<659, NA>
<172, NA>
<788, NA>
<995, NA>
<22, NA>
<77, NA>
<762, NA>
<346, NA>
<654, NA>
<284, NA>
<401, NA>
<979, NA>
<550, NA>
<231, NA>
<137, NA>
<527, NA>
<141, NA>
<786, NA>
<544, NA>
<157, NA>
<130, NA>
<794, NA>
<924, NA>
<187, NA>
<588, NA>
<347, NA>
<158, NA>
<359, NA>
<174, NA>
<646, NA>
<837, NA>
<479, NA>
<162, NA>
<227, NA>
<801, NA>
<476, NA>
<56, NA>
<283, NA>
<846, NA>
<553, NA>
<622, NA>
<9, NA>
<773, NA>
<309, NA>
<327, NA>
<769, NA>
<638, NA>
<155, NA>
<388, NA>
<965, NA>
<521, NA>
<84, NA>
<866, NA>
<255, NA>
<210, NA>
<669, NA>
<547, NA>
<921, NA>
<139, NA>
<981, NA>
<546, NA>
<710, NA>
<603, NA>
<321, NA>
<323, NA>
<299, NA>
<518, NA>
<176, NA>
<926, NA>
<522, NA>
<18, NA>
<499, NA>
<214, NA>
<758, NA>
<667, NA>
<454, NA>
<567, NA>
<894, NA>
<37, NA>
<639, NA>
<252, NA>
<292, NA>
<820, NA>
<279, NA>
<319, NA>
<991, NA>
<87, NA>
<274, NA>
<666, NA>
<123, NA>
<378, NA>
<664, NA>
<13, NA>
<516, NA>
<539, NA>
<809, NA>
<725, NA>
<368, NA>
<78, NA>
<904, NA>
<142, NA>
<855, NA>
<626, NA>
<720, NA>
<101, NA>
<402, NA>
<726, NA>
<568, NA>
<676, NA>
<389, NA>
<412, NA>
<810, NA>
<613, NA>
<72, NA>
<918, NA>
<428, NA>
<177, NA>
<598, NA>
<778, NA>
<684, NA>
<763, NA>
<554, NA>
<446, NA>
<599, NA>
<920, NA>
<258, NA>
<66, NA>
<23, NA>
<313, NA>
<222, NA>
<699, NA>
<881, NA>
<275, NA>
<426, NA>
<578, NA>
<722, NA>
<340, NA>
<409, NA>
<205, NA>
<107, NA>
<579, NA>
<458, NA>
<124, NA>
<635, NA>
<559, NA>
<543, NA>
<90, NA>
<161, NA>
<696, NA>
<356, NA>
<333, NA>
<224, NA>
<175, NA>
<343, NA>
<933, NA>
<198, NA>
<363, NA>
<896, NA>
<806, NA>
<241, NA>
<641, NA>
<257, NA>
<464, NA>
<978, NA>
<766, NA>
<879, NA>
<120, NA>
<952, NA>
<545, NA>
<943, NA>
<32, NA>
<471, NA>
<206, NA>
<427, NA>
<397, NA>
<362, NA>
<600, NA>
<577, NA>
<888, NA>
<969, NA>
<456, NA>
<371, NA>
<517, NA>
<525, NA>
<884, NA>
<44, NA>
<291, NA>
<735, NA>
<531, NA>
<984, NA>
<282, NA>
<972, NA>
<551, NA>
<416, NA>
<144, NA>
<478, NA>
<119, NA>
<405, NA>
<39, NA>
<536, NA>
<160, NA>
<966, NA>
<958, NA>
<510, NA>
<514, NA>
<159, NA>
<528, NA>
<656, NA>
<785, NA>
<968, NA>
<902, NA>
<944, NA>
<630, NA>
<97, NA>
<167, NA>
<403, NA>
<951, NA>
<842, NA>
<365, NA>
<436, NA>
<780, NA>
<74, NA>
<982, NA>
<121, NA>
<701, NA>
<804, NA>
<975, NA>
<398, NA>
<435, NA>
<118, NA>
<807, NA>
<496, NA>
<889, NA>
<64, NA>
<288, NA>
<563, NA>
<344, NA>
<197, NA>
<379, NA>
<294, NA>
<421, NA>
<841, NA>
<839, NA>
<821, NA>
<640, NA>
<697, NA>
